Abies webbiana medicinal plant
Abroma augusta medicinal plant
Abrus precatorius medicinal plant
Abutilon indicum medicinal plant
Acacia arabica medicinal plant
Acacia catechu medicinal plant
Acacia concinna medicinal plant
Achillea millefolium medicinal plant
Achyranthes aspera medicinal plant
Aconitum heterophyllum medicinal plant
Aconitum spp. medicinal plant
Acorus calamus medicinal plant
Adhatoda vasica medicinal plant
Aegle marmelos medicinal plant
Aegle marmelos medicinal plant
Albizzia lebbeck medicinal plant
Allium cepa medicinal plant
Allium sativum medicinal plant
Aloe vera medicinal plant
Alpinia galanga medicinal plant
Alstonia scholaris medicinal plant
Anacyclus pyrethrum medicinal plant
Andrographis paniculata medicinal plant
Anethum sowa medicinal plant
Aphanamixis rohituka medicinal plant
Apium graveolens medicinal plant
Argyreia speciosa medicinal plant
Asparagus adscendens medicinal plant
Asparagus racemosus medicinal plant
Asphaltum medicinal plant
Asteracantha longifolia medicinal plant
Atropa belladonna medicinal plant
Atropa belladonna medicinal plant
Azadirachta indica medicinal plant
Azadirachta indica medicinal plant
Bacopa monnieri medicinal plant
Barleria prionitis medicinal plant
Bauhinia variegata medicinal plant
Berberis aristata medicinal plant
Bergenia ligulata medicinal plant
Boerhaavia diffusa medicinal plant
Boswellia serrata medicinal plant
Butea frondosa medicinal plant
Caesalpinia bonducella medicinal plant
Calotropis gigantea medicinal plant
Camellia sinensis medicinal plant
Capparis spinosa medicinal plant
Capsicum spp. medicinal plant
Cassia angustifolia medicinal plant
Cassia angustifolia medicinal plant
Cassia fistula medicinal plant
Cassia occidentalis medicinal plant
Cedrus deodara medicinal plant
Celastrus paniculatus medicinal plant
Centella asiatica medicinal plant
Cephaelis ipecacuanha medicinal plant
Cephalandra indica medicinal plant
Cicer arietinum medicinal plant
Cichorium intybus medicinal plant
Cinchona ledgeriana medicinal plant
Cissus quadrangularis medicinal plant
Citrullus colocynthis medicinal plant
Citrullus colocynthis medicinal plant
Citrus aurantium medicinal plant
Citrus medica medicinal plant
Colchicum luteum medicinal plant
Coleus forskohlii medicinal plant
Commiphora mukul medicinal plant
Commiphora myrrha medicinal plant
Coriandrum sativum medicinal plant
Crataeva nurvala medicinal plant
Cucumis sativus medicinal plant
Cuminum cyminum medicinal plant
Curcuma amada medicinal plant
Curcuma longa medicinal plant
Curculigo orchioides medicinal plant
Cynodon dactylon medicinal plant
Cyperus scariosus medicinal plant
DGL medicinal plant
Dashmool medicinal plant
Datura stramonium medicinal plant
Daucus carota medicinal plant
Dolichos biflorus medicinal plant
Eclipta alba medicinal plant
Embelia ribes medicinal plant
Emblica officinalis medicinal plant
Enicostemma littorale medicinal plant
Ephedra vulgaris medicinal plant
Eugenia jambolana medicinal plant
Euphorbia hirta medicinal plant
Evolvulus alsinoides medicinal plant
Ferula foetida medicinal plant
Ficus racemosa medicinal plant
Ficus racemosa medicinal plant
Foeniculum vulgare medicinal plant
Fumaria Officinalis medicinal plant
Garcinia cambogia medicinal plant
Glycyrrhzia glabra medicinal plant
Gossypium herbaceum medicinal plant
Gymnema slyvestre medicinal plant
Hemidesmus indicus medicinal plant
Holarrhena antidysenterica medicinal plant
Holarrhena antidysenterica medicinal plant
Hydrastis Indian medicinal plant
Hyoscyamus niger medicinal plant
Hypericum perforatum medicinal plant
Indigofera tinctoria medicinal plant
Inula racemosa medicinal plant
Juglans regia medicinal plant
Lawsonia alba medicinal plant
Leptadenia reticulata medicinal plant
Lobelia nicotianaefolia medicinal plant
Mangifera indica medicinal plant
Matricaria chamomilla medicinal plant
Mentha spicata medicinal plant
Mesua ferrea medicinal plant
Mimusops elegni medicinal plant
Momordica charantia medicinal plant
Morinda citrifolia medicinal plant
Moringa oleifera medicinal plant
Moringa oleifera medicinal plant
Mucuna pruriens medicinal plant
Myrica nagi medicinal plant
Myristica fragrans medicinal plant
Nardostachys jatamansi medicinal plant
Nelumbo nucifera medicinal plant
Nigella sativa medicinal plant
Nyctanthes arbortristis medicinal plant
Ocimum basilicumleaf medicinal plant
Ocimum sanctum medicinal plant
Oldenlandia corymbosa medicinal plant
Onosma echioides medicinal plant
Operculina turpethum medicinal plant
Opuntia dillenii medicinal plant
Orchis mascula medicinal plant
Phyllanthus niruri medicinal plant
Picrorhiza kurrooa medicinal plant
Piper cubeba medicinal plant
Piper longum medicinal plant
Piper nigrum medicinal plant
Pistacia integerrima medicinal plant
Plumbago indica medicinal plant
Podophyllum emodi medicinal plant
Polygala chinensis medicinal plant
Pongamia glabra medicinal plant
Prunus serotina medicinal plant
Psoralea corylifolia medicinal plant
Pterocarpus marsupium medicinal plant
Pterocarpus santalinus medicinal plant
Pueraria tuberosa medicinal plant
Punica granatum medicinal plant
Putranjiva roxburghii medicinal plant
Pyrus malus medicinal plant
Quercus infectoria medicinal plant
Randia dumetorum medicinal plant
Rauwolfia serpentina medicinal plant
Rheum emodi medicinal plant
Ricinus communis medicinal plant
Ricinus communis medicinal plant
Rubia Cordifolia medicinal plant
Salacia reticulata medicinal plant
Santalum album medicinal plant
Sapindus trifoliatus medicinal plant
Saraca indica medicinal plant
Saussurea lappa medicinal plant
Semecarpus anacardium medicinal plant
Sida cordifolia medicinal plant
Silybum marianum medicinal plant
Solanum nigrum medicinal plant
Solanum xanthocarpum medicinal plant
Spinacia oleracea medicinal plant
Strychnos nux medicinal plant
Swertia chirata medicinal plant
Symplocos racemosa medicinal plant
Taraxacum officinale medicinal plant
Tecomella undulata medicinal plant
Tephrosia purpurea medicinal plant
Terminalia arjuna medicinal plant
Terminalia belerica medicinal plant
Terminalia chebula medicinal plant
Tinospora cordifolia medicinal plant
Trachyspermum ammi medicinal plant
Tribulus terrestris medicinal plant
Trichosanthes dioica medicinal plant
Trigonella foenum-graecum medicinal plant
Trikatu medicinal plant
Triphala medicinal plant
Triticum sativum medicinal plant
Triticum sativum medicinal plant
Tylophora indica medicinal plant
Urginea indica medicinal plant
Valeriana wallichii medicinal plant
Viburnum spp. medicinal plant
Viola odorata medicinal plant
Vitex negundo medicinal plant
Vitis vinifera medicinal plant
Wedelia calendulacea medicinal plant
Withania somnifera medicinal plant
Woodfordia floribunda medicinal plant
Zingiber officinale medicinal plant
